Postalcode,City,Latitude,Longitude,ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
N0B 1K0,Waterloo,43.5569,-80.4414,0,0.0,9.67269847526977,7.9660321889455155,12.673130676553823,15.487574183492267,14.589291068038728,26.868845156825618,27.502475834956016,23.617411297570936,22.997565279167592,19.36690883908548,16.97233556550106,15.589117449014347,18.755876159080028,16.132537921893373,17.911957795036606,11.36739848238513,11.514501705511332,20.77571817294051,12.929419108718594,10.275412224633282,15.430467086930623,16.971210741972712,13.102439760455598,11.46261946452845,14.489998734191964,16.741340413332324,18.8330668701109,19.482420214952434
N2J 0A1,Waterloo,43.504,-80.5366,1,9.67269847526977,0.0,3.5789276170760953,3.684064022202168,6.2532422783695,4.9172107043264885,26.701275026494425,29.520626448764375,22.920927340940707,24.37082508817645,23.09643533916437,17.734132724634637,15.969785459612861,25.039547719412464,24.804756891500965,25.130854503958172,19.99899442086355,18.833183294611437,27.992010078999343,11.418010389160525,8.476169706104326,12.068576618464878,10.777017457715777,7.667820864817388,6.754779029195588,7.846100163092883,8.695376227356528,15.54725862107078,13.839801873023005
N2K 0A1,Waterloo,43.4961,-80.4936,2,7.9660321889455155,3.5789276170760953,0.0,4.99637732208363,7.760131551403581,7.63285726479897,23.630641570063275,26.116432652011333,19.915652989067713,21.01084590252038,19.527716771063414,14.368893043899899,12.622458499734167,21.54105509026994,21.811265589283032,21.7543141685148,17.07053186221263,15.565457393855485,24.592786571060007,8.25706194309458,5.157956001234658,9.508585973915444,9.529412803685098,5.77314489768817,4.332711399621963,6.77122086949991,8.7876386398305,13.108243808069966,12.380237718822679
N2L 0A1,Waterloo,43.4715,-80.5454,3,12.673130676553823,3.684064022202168,4.99637732208363,0.0,2.815379041764553,3.1789319203637203,24.947910594898058,28.474753875343694,21.11483961624919,23.26042112785363,22.936869635335533,16.77617120838479,15.022394877900483,25.823349073836475,26.723257542773364,26.31876327859694,22.019188630324884,20.314164093327204,29.101799800554176,10.315813988584482,8.00452987875977,10.037748154516217,7.6606799418813925,5.460416225499226,5.34640728331091,4.881195935748601,5.062606371749962,13.197431961166386,10.725667317948387
N2T 0A1,Waterloo,43.453,-80.5692,4,15.487574183492267,6.2532422783695,7.760131551403581,2.815379041764553,0.0,2.8706914090140994,25.45329979398741,29.510171195668434,21.631985229442915,24.308580390997765,24.623869413674704,18.057418845391837,16.359850962015397,27.98654640473505,29.331152273384628,28.659807555734766,24.672868951543627,22.80653898526634,31.394956754888735,11.749302057606364,9.974247837721181,10.74490337176842,7.2456940673803825,6.540210880099432,7.079670364974611,5.181743069830387,3.636965143629199,13.408669752982188,10.07375467084826
N2V 0A2,Waterloo,43.4764,-80.5842,5,14.589291068038728,4.9172107043264885,7.63285726479897,3.1789319203637203,2.8706914090140994,0.0,27.840322054364886,31.56626001862542,24.005820465291453,26.35026713619808,26.11546783715206,19.91201965723058,18.16586023298785,28.904570881538277,29.423865661908014,29.30098698546849,24.65788476005392,23.184227826685085,32.11084969161191,13.464281807005419,11.176700885497825,12.964709162882562,9.929995678581557,8.46759877881125,8.513367136404236,7.514466299619942,6.486080709745611,15.9079102783607,12.854057334567315
N1P 0A1,Cambridge,43.3398,-80.2955,6,26.868845156825618,26.701275026494425,23.630641570063275,24.947910594898058,25.45329979398741,27.840322054364886,0.0,6.5131564373412525,3.8352861634751774,5.112559069861686,11.296975109778934,9.897740946419999,11.384306583662141,17.829001707925787,25.717442104652942,20.65028625112431,24.362546855756523,20.725505673408716,21.37141350401657,15.373706386925011,18.49325774390875,14.910385883610166,18.393793220232478,19.492854584422044,19.99603563642546,20.34404513098663,22.244851064224175,12.0870846375453,16.278261838874982
N1R 0A1,Cambridge,43.3666,-80.2239,7,27.502475834956016,29.520626448764375,26.116432652011333,28.474753875343694,29.510171195668434,31.56626001862542,6.5131564373412525,0.0,8.997706976244908,5.216003256967716,8.69773696562739,11.792658298388805,13.56191986018339,13.961176275134457,22.41494544075201,16.885314442130344,22.25261168052976,18.90376436300645,16.841758570411233,18.22330325763705,21.044458554459435,18.777558081440684,22.934878933942333,23.107732285556736,23.190952495677063,24.332646386323944,26.68569315146436,16.79660979394394,21.36856295705276
N1S 0A1,Cambridge,43.3592,-80.3347,8,23.617411297570936,22.920927340940707,19.915652989067713,21.11483961624919,21.631985229442915,24.005820465291453,3.8352861634751774,8.997706976244908,0.0,5.044117453493612,10.507641197611989,6.805815616563315,8.028994723123706,17.165014493832672,24.374000767554318,19.775368854099604,22.373523520900076,18.706504460644645,20.994446154067777,11.66956898886389,14.810144038740352,11.077094052230985,14.615844317337803,15.661826209896855,16.19572229500249,16.51268003236617,18.46200731618518,8.30618595636371,12.641516933985956
N1T 0A2,Cambridge,43.3849,-80.2833,9,22.997565279167592,24.37082508817645,21.01084590252038,23.26042112785363,24.308580390997765,26.35026713619808,5.112559069861686,5.216003256967716,5.044117453493612,0.0,6.187677939459609,6.643275556026896,8.401777216920449,12.770077436073889,20.606881315726373,15.560549534989015,19.392056096896926,15.79292649802141,16.41345120506431,13.026955296970403,15.900632919564837,13.590300908975863,17.833147248578662,17.892627294065075,17.984982984171676,19.135434229230036,21.54154210875068,11.83055498982819,16.466476101068217
